iter	Passed	Remaining
0	0	77
1	1	71
2	2	69
3	2	65
4	3	64
5	3	62
6	4	62
7	5	61
8	6	60
9	6	60
10	7	59
11	7	58
12	8	57
13	9	56
14	9	56
15	10	55
16	11	55
17	12	55
18	12	54
19	13	53
20	14	53
21	14	52
22	15	51
23	16	50
24	16	50
25	17	49
26	18	49
27	19	49
28	19	48
29	20	48
30	21	47
31	21	46
32	22	45
33	23	45
34	24	44
35	24	43
36	25	43
37	25	42
38	26	41
39	27	40
40	27	39
41	28	38
42	28	37
43	29	37
44	29	36
45	30	35
46	31	35
47	32	34
48	33	34
49	33	33
50	34	33
51	35	32
52	35	31
53	36	30
54	36	30
55	37	29
56	37	28
57	38	28
58	39	27
59	39	26
60	40	25
61	41	25
62	41	24
63	42	23
64	42	23
65	43	22
66	44	21
67	44	21
68	45	20
69	45	19
70	46	18
71	47	18
72	47	17
73	48	16
74	48	16
75	49	15
76	50	15
77	50	14
78	51	13
79	52	13
80	52	12
81	53	11
82	53	11
83	54	10
84	55	9
85	55	9
86	56	8
87	56	7
88	57	7
89	58	6
90	58	5
91	59	5
92	59	4
93	60	3
94	61	3
95	61	2
96	62	1
97	62	1
98	63	0
99	63	0
